id,user_id,education,skills,experience,languages,certifications,created_at,updated_at,embedding
f1de7668-18d0-4607-ba55-fdc8791f1676,e541b056-ad3e-44a8-b692-9f0dd2554478,"[{""degree"": ""Bachelor in Medicine"", ""institution"": ""Wharton""}]","[""Marketing"", ""DevOps"", ""Python"", ""Surgery"", ""Machine Learning""]","[{""company"": ""Tesla"", ""position"": ""DevOps Engineer"", ""start_date"": ""2024-10-26"", ""end_date"": ""2025-07-10"", ""description"": ""Created a model that generates and commits SQL queries on a database based on natural language input.""}]","[""Arabic""]","[""Scrum Master""]",2024-06-22T22:00:12.295206,2025-03-06T22:00:12.295219,VhRc1l//TXWVdI0HkwENZA==
55a1bf32-d096-418e-832b-5672245cadf9,6532d731-2f24-4d09-a7f4-1fe3811cb8aa,"[{""degree"": ""Master in AI"", ""institution"": ""Johns Hopkins""}]","[""SEO"", ""Surgery"", ""DevOps"", ""Data Science""]","[{""company"": ""Wellness Clinic"", ""position"": ""Nurse"", ""start_date"": ""2024-08-22"", ""end_date"": ""2024-12-08"", ""description"": ""Provided patient care in emergency situations.""}]","[""Arabic"", ""Chinese""]","[""SEO Expert"", ""Scrum Master""]",2024-06-05T22:00:12.295474,2025-03-06T22:00:12.295482,aTgx+f4gSQKdWJjGxSJ2Aw==
7c3f2403-cafd-43fd-bcb2-497692f95f70,246a1316-e375-4c3e-b188-b94a2191eed1,"[{""degree"": ""Master in AI"", ""institution"": ""Esprit""}]","[""SEO"", ""Java"", ""Python"", ""Machine Learning"", ""Data Science""]","[{""company"": ""MediCare"", ""position"": ""Surgeon"", ""start_date"": ""2023-08-23"", ""end_date"": ""2024-03-27"", ""description"": ""Provided patient care in emergency situations.""}]","[""Spanish"", ""Arabic"", ""French""]","[""AWS Certified"", ""Scrum Master""]",2024-11-12T22:00:12.295730,2025-03-06T22:00:12.295737,qZ1jqZ3URE2zUDua9lQcTw==
efd5e194-236f-438a-9021-21c5ebfd8a11,06b450f0-7d18-4a55-9e93-fa886892eb96,"[{""degree"": ""MBA in Marketing"", ""institution"": ""Harvard""}]","[""DevOps"", ""Python"", ""SEO"", ""Machine Learning"", ""Marketing""]","[{""company"": ""Google"", ""position"": ""AI Researcher"", ""start_date"": ""2022-12-27"", ""end_date"": ""2023-12-13"", ""description"": ""Developed a scalable AI model for business insights.""}]","[""English"", ""French""]","[""Certified Surgeon""]",2024-03-27T22:00:12.295945,2025-03-06T22:00:12.295951,v0zVe76qQ4OHouS0UmUWqQ==
925097f5-0f22-47f0-8370-b9a35bb7a6fc,5c5d5a49-6e84-4787-a285-28c0d1e74656,"[{""degree"": ""MBA in Marketing"", ""institution"": ""Stanford""}]","[""Data Science"", ""SEO"", ""Surgery"", ""Python""]","[{""company"": ""Dentsu"", ""position"": ""Social Media Manager"", ""start_date"": ""2022-08-23"", ""end_date"": ""2023-07-06"", ""description"": ""Managed advertising budgets and campaigns.""}]","[""Spanish"", ""French"", ""Arabic""]","[""SEO Expert"", ""AWS Certified""]",2024-09-19T22:00:12.296146,2025-03-06T22:00:12.296153,QocOc693ROqg4Up0nD1dBQ==
75b43493-88b2-4eca-bbcb-202b88e1c340,c2fe9ef2-ab04-44db-bd87-1d9defe8ab51,"[{""degree"": ""Master in AI"", ""institution"": ""Wharton""}]","[""Machine Learning"", ""DevOps"", ""Java"", ""Python"", ""SEO""]","[{""company"": ""Tesla"", ""position"": ""Software Engineer"", ""start_date"": ""2023-05-25"", ""end_date"": ""2023-10-27"", ""description"": ""Created a model that generates and commits SQL queries on a database based on natural language input.""}]","[""Chinese"", ""German"", ""Arabic""]","[""Google Data Engineer""]",2024-06-12T22:00:12.296357,2025-03-06T22:00:12.296365,4H/W53OzQAmbxq04QStyKQ==
dc8f3774-2d00-481c-b726-094e12f4c4af,4bd4f417-2178-4708-962b-8349bfbeeeb2,"[{""degree"": ""Bachelor in Medicine"", ""institution"": ""Wharton""}]","[""DevOps"", ""Python"", ""SEO"", ""C++"", ""Marketing""]","[{""company"": ""OpenAI"", ""position"": ""Software Engineer"", ""start_date"": ""2023-04-15"", ""end_date"": ""2024-03-27"", ""description"": ""Created a model that generates and commits SQL queries on a database based on natural language input.""}]","[""Spanish"", ""Arabic"", ""Chinese""]","[""SEO Expert"", ""Google Data Engineer""]",2025-01-26T22:00:12.296649,2025-03-06T22:00:12.296657,DnpQgIhvQEKx4vaaPd331w==
9c52f0fd-7396-4565-ac46-cb472b03630b,cfcf225d-ce77-49fa-aa55-f0ab1e37ecad,"[{""degree"": ""MBA in Marketing"", ""institution"": ""Johns Hopkins""}]","[""SEO"", ""Data Science"", ""C++"", ""Marketing"", ""Python""]","[{""company"": ""Publicis"", ""position"": ""Marketing Manager"", ""start_date"": ""2024-05-25"", ""end_date"": ""2024-08-24"", ""description"": ""Managed advertising budgets and campaigns.""}]","[""Chinese"", ""French"", ""Arabic""]","[""AWS Certified""]",2024-09-06T22:00:12.296859,2025-03-06T22:00:12.296867,2v7Yd7ehQT2STI7gqTTW0Q==
9d2bdc6a-b287-4ad6-904c-94e1ea40f44c,67e16e50-70a9-40d7-9323-0016ad26eccc,"[{""degree"": ""PhD in Data Science"", ""institution"": ""Oxford""}]","[""SEO"", ""Surgery"", ""Java""]","[{""company"": ""Wellness Clinic"", ""position"": ""Surgeon"", ""start_date"": ""2024-11-23"", ""end_date"": ""2024-12-31"", ""description"": ""Conducted patient diagnoses and treatments.""}]","[""English""]","[""AWS Certified""]",2024-04-30T22:00:12.297050,2025-03-06T22:00:12.297058,uQuV7UKtSMCfBVitiaWMhQ==
9568ffc4-b5be-4b53-b493-fc1241e06d2d,5e521063-cc4a-46b6-a5c5-39dae41c37c2,"[{""degree"": ""PhD in Data Science"", ""institution"": ""Stanford""}]","[""Marketing"", ""DevOps"", ""Python""]","[{""company"": ""Microsoft"", ""position"": ""Software Engineer"", ""start_date"": ""2022-08-15"", ""end_date"": ""2023-06-16"", ""description"": ""Developed a chatbot for customer support automation.""}]","[""Spanish"", ""Chinese"", ""German""]","[""Scrum Master""]",2024-10-27T22:00:12.297223,2025-03-06T22:00:12.297230,ev5dh5JyThaAdmG8HXOJxQ==
